"Rajya	DISTRICT	BRANCH	ADDRESS	CENTRE	IFSC	CONTACT1	CONTACT2	CONTACT3	MICR_CODE",,,,,,,,,
"DELHI	DELHI	""Faiz Raod", Karol Bagh,"Delhi""	Delhi	DELHI	SBBJ0010332	""Faiz Raod", Karol Bagh,"Delhi""	D K Jain Tel:011-23613488 /23673564 : Fax: 23512879		",,,,,
"DELHI	DELHI	Khari Baoli	""6696"," Khari Baoli""	DELHI	SBBJ0010014	New Delhi	""R. N. Upadhyay (Tel. 011-23984995"," Fax 011-23919327)""		",,,,,,,
"DELHI	DELHI	KRISHI BHAWAN NEW DELHI	""STATE BANK OF BIKANER AND JAIPUR", KRISHI BHAWAN, DR. RAJINDERA PRASAD ROAD," NEW DELHI-110 001""	DELHI	SBBJ0010936	SHRI C.S. KASHYAP	011-23389250		",,,,,,
"DELHI	DELHI	MID CORPORATE BRANCH	""1ST FLOOR", 20/34 PUSA ROAD," KAROL BAGH NEW DLHI-110005""	DELHI	SBBJ0011327	25807700	sbbj11327@sbbj.co.in		110003049",,,,,,,
"DELHI	DELHI	N. I. E. Phase - I	""Naraina Ind. Estate", Phase-I, Building," First Floor""	DELHI	SBBJ0010309	New Delhi	""S. K. Sharma (Tel. 011-25790450"," Fax 011-25791378)""		",,,,,
"DELHI	DELHI	N. I. E. Phase - II	YC-1 Loha Mandi	DELHI	SBBJ0010455	New Delhi	""Raman Chaudhary (Tel. 011-25702349"," Fax 011-25895364)""		",,,,,,,,
"DELHI	DELHI	Nehru Place	""71-72"," Laxmi Bhawan""	DELHI	SBBJ0010666	New Delhi	""S. K. Deb (Tel. 011-26470787"," 011-26464971)""		",,,,,,,
"DELHI	DELHI	NEW DELHI  SARITA VIHAR	""POCKET B.", CSC, SARITA VIHAR," NEW DELHI-110044""	DELHI	SBBJ0010789	""UMRAO SINGH"," 011-26940470""			",,,,,
"DELHI	DELHI	""NEW DELHI"," DWARAKA""	""H/L GALLERIA PLOT-2",SEC-12,"DWARKA""	DELHI	SBBJ0010860	""A K MEENA","TEL-09891172748""			",,,,,
"DELHI	DELHI	""NEW DELHI"," JANAKPURI""	""C-14","C BLOCK COMMUNITY CENTRE DELHI 110058""	DELHI	SBBJ0010553	""G P MEENA","TEL-011-25613614""			",,,,,,
"DELHI	DELHI	""NEW DELHI"," KAROL BAGH""	""10/89-92","AJMAL KHAN ROAD NEW DELHI 110005""	DELHI	SBBJ0010466	""M L MEENA","TEL-011-25729962""			",,,,,,
"DELHI	DELHI	""NEW DELHI"," KIRTI NAGAR""	""N-103",KIRTI NAGAR," NEW DELHI 110015""	DELHI	SBBJ0010568	""H S BHAU","TEL-011-25414804""			",,,,,
"DELHI	DELHI	""NEW DELHI"," NANGAL RAYA""	""304",JAIL ROAD,"NANGAL NEW DELHI 110045""	DELHI	SBBJ0010624	""A K GARG","TEL-011-28111885""			",,,,,
"DELHI	DELHI	""NEW DELHI"," NEW ROHTAK ROAD""	NEW ROHTAK ROAD NEW DELHI	DELHI	SBBJ0010017	""JAGMOHAN MEENA","TEL-011-28713302""			",,,,,,,
"DELHI	DELHI	""NEW DELHI"," ROHINI""	""VISHRAM CHOWK ROHINI PLOT NO. 7 SEC-05","DELHI""	DELHI	SBBJ0010841	""DINESH KUMAR","TEL-011-27933411""			",,,,,,
"DELHI	DELHI	""NEW DELHI"," SAKET""	""16",COMMUNITY CENTRE, SAKET,"NEW DELHI 110017""	DELHI	SBBJ0010580	""R D MEENA","TEL-011-26566401""			",,,,
"DELHI	DELHI	""NEW DELHI"," VASANT KUNJ""	""CSC SEC-D","POCKET-II VASANT KUNJ DELHI 110070""	DELHI	SBBJ0010668	""A K GUPTA","TEL-011-26135012""			",,,,,,
"DELHI	DELHI	Paschim Vihar	Jwalahedi Market	DELHI	SBBJ0010554	New Delhi	""N. S. Chhabra (Tel. 011-25258512"," Fax 011-25254360)""		",,,,,,,,
"DELHI	DELHI	""RAJAURI GARDEN"," NEW DELHI""	""J-13/57", Rajauri Garden," New Delhi""	DELHI	SBBJ0011277	8130799515			110003042",,,,,,
"DELHI	DELHI	Safdarganj enclave	""A-1/19"," Safdargajung Enclave""	DELHI	SBBJ0010579	New Delhi	""R. K. Sahney (Te. 011-26106364"," Fax 011-26194513)""		",,,,,,,
"DELHI	DELHI	Shadra	""F-2/17-18", Krishna Nagar," Shahdra""	DELHI	SBBJ0010015	New Delhi	""N. K. Paliwal (Tel. 011-22002639"," Fax 011-22001878)""		",,,,,,
"DELHI	DELHI	""SHALIMAR BAGH"," DELHI""	""SBBJ", DARBARI LAL D.A.V.MODEL SCHOOL, BN BLOCK, SHALIMAR BAGH," DELHI-110088""	DELHI	SBBJ0011036	011-27470266			",,,,
"DELHI	DELHI	SPECIALISED PERSONAL BANKING BRANCH	""STATE BANK OF BIKANER & JAIPUR", SPECIALISED PERSONAL BANKING BRANCH, R-4/90 CONNAUGHT CIRCUS," NEW DELHI - 110 001""	DELHI	SBBJ0010987	011-23747220	011-23364634		",,,,,,
"DELHI	DELHI	""SWASTHYA VIHAR"," DELHI""	""A-1", Swasthya Vihar, Vikas Marg," Delhi-110092""	DELHI	SBBJ0011150	8130799528			110 003 038",,,,,
"DELHI	DELHI	TRADE FINANCE CENTRAL PROCESSING CENTRE(TFCPC)	""16/67-68",FAIZ ROAD,KAROL BAGH,"NEW DELHI-110005""	DELHI	SBBJ0010947	9999029163			",,,,,,
"DELHI	DELHI	""Vikaspuri"," New Delhi""	""C-368", Near Budhela Market,Vikaspuri," New Delhi-110018""	DELHI	SBBJ0011145	8130909994			110003037",,,,,
"GUJARAT	AHMADABAD	AHMEDABAD  C G ROAD	""C G ROAD"," AHMEDABAD""	AHMEDABAD	SBBJ0010276	""V K NAGAR"," 079-26562785""	079-26430301		",,,,,,,
"GUJARAT	AHMADABAD	AHMEDABAD  MANINAGAR	""MANINAGAR (EAST) ","  AHMEDABAD""	AHMEDABAD	SBBJ0010346	""A K CHOPRA"," 079-22721454""	079-22721914		",,,,,,,
"GUJARAT	AHMADABAD	AHMEDABAD  SATELITE ROAD	""SATELITE ROAD"," AHMEDABAD""	AHMEDABAD	SBBJ0010819	""C S DHAVALESHA"," 079-26747217""			",,,,,,,
"GUJARAT	AHMADABAD	AHMEDABAD  TILAK ROAD	""P.B. NO. 20", TILAK ROAD," AHMEDABAD.-380001""	AHMEDABAD	SBBJ0010277	""P M NYATI"," 079-22110226""	079-22146548		",,,,,,
"GUJARAT	AHMADABAD	BAGODARA	""SHOP.3",4,&5,KAMDHENU COMPLEX, NH-8A," BAGODARA""	BAGODARA	SBBJ0011125	9925237439			382003502",,,,
"GUJARAT	AHMADABAD	BOPAL	""SHOP NO 1 - 7",GROUND FLOOR,AMARAPALI AXIOM, NR BOPAL JUNCTION,BOPAL,"AHMEDABAD""	BOPAL	SBBJ0011308	26929862	sbbj11308@sbbj.co.in		380003012",,,,
"GUJARAT	AHMADABAD	CHANGODAR	""TAJPUR PATIYA", CHANGODAR BAVLA ROAD, NEAR CENTRAL BANK," CHANGODAR DISTRICT AHMEDABAD""	CHANGODAR	SBBJ0011128	9099091140			380003008",,,,,,
"GUJARAT	AHMADABAD	DHANDHUKA	""51",GHOGHARI COMPLEX,NEAR NEW MAMLATDAR OFFICE,"ADVAL NAKA DHANDHUKA-382460""	DHANDHUKA	SBBJ0011157	9099003026			382003101",,,,,,
"GUJARAT	AHMADABAD	DHOLERA	""SHOP 1",2 & 3, RIDDHI SIDDHI COMPLEX, PORT ROAD," DHOLERA""	DHOLERA	SBBJ0011124	9925237352			382003501",,,,,
"GUJARAT	AHMADABAD	SANAND	""SHIVSHAKTI COMPLEX", SHIVKRUPA HOU. SOC," NEAR KOTAK BANK SANAND DISTRICT AHMEDABAD 382110""	SANAND	SBBJ0011127	9167499050			380003007",,,,,,,
"GUJARAT	AHMADABAD	""SCIENCE CITY","AHMEDABAD""	""GROUND FLOOR",SAPTAK CORPORATE HOUSE,NR SHUKAN MALL,SCIENCE CITY ROAD, SOLA,"AHMEDABAD""	AHMEDABAD	SBBJ0011309	27712014	sbbj11309@sbbj.co.in		380003011",,,
"GUJARAT	BHARUCH	DAHEJ	""FF 45 TO 49 SHALIGRAM COMPLEX", IPCL ROAD DAHEJ," DISTRICT BHARUCH""	DAHEJ	SBBJ0011138		9925236530 7829111198		392003071",,,,,,,
"GUJARAT	GANDHINAGAR	CHHATRAL	SHOP 1 TO 5 SONANA PLAZA OPPOSITE UGVCL HOUSE CHHATRAL	CHHATRAL	SBBJ0011126		9428218168		380003006",,,,,,,,,
"GUJARAT	GANDHINAGAR	GANDHINAGAR	""PLOT NO-17",UNIT NO-1,SUMAN CITY,CINEMAX,SECTOR-11,"GANDHINAGAR""	GANDHINAGAR	SBBJ0011214	79-9099002952			380003010",,,,
"GUJARAT	GANDHINAGAR	KALOL	""GF-CITY MALL-3", NAVJIVAN MILL COMPOUND," KALOL""	KALOL	SBBJ0011139	9428521283			380003009",,,,,,,
"GUJARAT	KACHCHH	GANDHIDHAM	""GANDHIDHAM"," KUTCH-370291""	GANDHIDHAM	SBBJ0010778	""MUKESH BHARGAVA","  02836-223272""	02836-232990		",,,,,,,
"GUJARAT	MAHESANA	BECHARAJI	""Survey No.657",Nr. HP Petrol Pump,Opp. Gram Pan. Off,"Becharaji""	BECHRAJI	SBBJ0011156	02734-289622	sbbj11156@sbbj.co.in		384003501",,,,,,
"GUJARAT	MAHESANA	MEHSANA	""B1 JAGDISH CHAMBERS", RAJKAMAL PUM," MEHSANA-384002""	MAHESANA	SBBJ0010755	""K R PRAJAPAT","			
GUJARAT	RAJKOT	RAJKOT	RAMKRISHNA NAGAR", NEAR MUNICIPAL COMMISSIONAR BUNGALOW," RAJKOT""	RAJKOT	SBBJ0010882	""0281-2466325","2466328""			",,,
"GUJARAT	SURAT	SURAT	""BHOGA TALAR ROAD",J.K. CHAMBER,"SURAT-395003""	SURAT	SBBJ0010627	""R M JEENGAR","  0261-2321959""			",,,,,,
"GUJARAT	SURAT	SURAT PAL ROAD	13-14 SIDDHI RESIDENCY PAL ROAD SURAT Gujrat	SURAT	SBBJ0011215	2612730850			395003003",,,,,,,,,
"GUJARAT	VADODARA	BARODA	""1-SHIV SHAKTI CO-OPERATIVE HOUSING SOCIETY LTD.", JALARAM," BARODA-390018""	VADODARA	SBBJ0010518	""R R RAMENA","  0265-2461662""			",,,,,,
"GUJARAT	VADODARA	""VADSAR BRIDGE"," BARODA""	""SHOP NO 1",SUN PLAZA-II,NR VADSAR BRIDGE,"BARODA""	VADODARA	SBBJ0011313	2637264	sbbj11313@sbbj.co.in		390003003",,,,,
"HARYANA	AMBALA	AMBALA CANTT.	""SANJAYGANDHI MARG", SADAR BAZAR," AMBALA-133001""	AMBALA	SBBJ0010569	""M M MOHALA"," 0171-2630397""			",,,,,,
"HARYANA	AMBALA	AMBALA CITY	""102", PREM NAGAR," AMBALA CITY""	AMBALA	SBBJ0011171	""0171-2553563"," 2553564""			133003003",,,,,,
"HARYANA	BHIWANI	BHIWANI	""Balaji complex", Near Old Bus Stand ( In Gate), Circular Road," Bhiwani (Haryana) - 127021""	BHIWANI	SBBJ0011278	94164-18741	sbbj11278@sbbj.co.in		127003002",,,,,,
"HARYANA	FARIDABAD	FARIDABAD	""26",RAILWAY ROAD," NEAR BATA CHOWK 121001""	FARIDABAD	SBBJ0010310	""S C GUPTA","TEL-0129-25413904""			",,,,,,
"HARYANA	FARIDABAD	""PALWAL"," HARYANA""	""Gupta Palaza","Byepass Road Palwal Haryana-121102""	PALWAL	SBBJ0011261	1275224088			121003452",,,,,,,
"HARYANA	FARIDABAD	SEC-16 (A) FARIDABAD	""SCF 35 & 36 HUDDA MARKET PART-I"," SECTOR-16(A) FARIDABAD HARYANA -121002""	FARIDABAD	SBBJ0011250	1292262255			110003043",,,,,,,,
"HARYANA	GURGAON	GURGAON	""117","118 SHOPPING MALL DLF PHASE - I ARJUN MARG 122002""	GURGAON	SBBJ0010829	""VIJAY SWARUP","TEL-0121-28950326""			",,,,,,,
"HARYANA	GURGAON	GURGAON SECTOR-FORTY NINE	""SHOP NO.90-91", EROS CITY, SECTOR-49," GURGAON""	GURGAON	SBBJ0011318	124 2213422			110003046",,,,,,
"HARYANA	GURGAON	""SEC-5"," GURGAON""	""Shitla Mata Road"," Sec-5 Gurgaon Haryana-122001""	GURGAON	SBBJ0011280	22500025			110003044",,,,,,,
"HARYANA	GURGAON	""SECTOR-66"," GURGAON""	""Universal Buildtech Pvt. Ltd.",,,,,,,,
Sector-66,,,,,,,,,
Golf Course Road,,,,,,,,,
"Gurgaon - 122 018""	GURGAON	SBBJ0011158	8826555344			110003036",,,,,,,,,
"HARYANA	HISAR	HISSAR	""CSF-7 COMMUNITY ESTATE-1", RED SQUARE MARKET, RAILWAY ROAD," HISSAR-125001""	HISAR	SBBJ0010808	""YOGENDRA KUMAR"," 01662-228421""			",,,,,
"HARYANA	JHAJJAR	BAHADURGARH	DELHI ROHTAK ROAD BAHADURGARH	BAHADURGARH	SBBJ0010770	""LAXMI SINGH","TEL-01276-234268""			",,,,,,,,
"HARYANA	JIND	JIND	""SCF 32", Sector Addl. 'A', Near jat Dharmashala, Jind (Haryana) 126102,"	JIND	SBBJ0011279	01681-245797"," 245798""	sbbj11279@sbbj.co.in		126003002",,,,
"HARYANA	KAITHAL	KAITHAL	""1057/11"," MARWAH COMPLEX KURUKSHETRA ROAD OPP. ADAIUT SWAROOP ASHRAM NEAR CENTRAL BANK OF INDIA KAITHAL - 136027""	KAITHAL	SBBJ0011384	1746 234225			136003152",,,,,,,,
"HARYANA	KARNAL	KARNAL	""SCF-232", SECTOR-12, URBAN ESTATE," KARNAL""	KARNAL	SBBJ0010902	9416007722			",,,,,,
"HARYANA	KURUKSHETRA	KURUKSHETRA	""STATE BANK OF BIKANER & JAIPUR", SCO 66, SECTOR 17, URBAN ESTATE,"  KURUKSHETRA""	KURUKSHETRA	SBBJ0010908	SHRI S. S. BHATIA	01744-293340		",,,,,
"HARYANA	MAHENDRAGARH	NARNAUL	""Near TATA MG Motors", Kailash Nagar Rewari Road," Narnaul – 123001 Distt Mahendragarh""	NARNAUL	SBBJ0011335	252811	sbbj11335@sbbj.co.in		123003052",,,,,,,
"HARYANA	PANCHKULA	PANCHKULA	""SCO-47", SECTOR-11," PANCHKULA-134109""	PANCHKULA	SBBJ0010852	""RAVINDRA ATTREY"," 0172-2562347""	0172-2561057		",,,,,,
"HARYANA	PANIPAT	PANIPAT	""OPPOSITE HYDERABADI HOSPITAL  SONALI ROAD"," PANIPAT-132103""	PANIPAT	SBBJ0010603	""Y S KOHLI"," 01742-2664768""			",,,,,,,
"HARYANA	REWARI	REWARI	""KATH MANDI","  REWARI-123401""	REWARI	SBBJ0010413	""V.S. JAIN"," 01274-255125""	01274-253151		",,,,,,,
"HARYANA	ROHTAK	ROHTAK	""OPP. SERVICE CLUB", CIVIL ROAD," ROHTAK-124001""	ROHTAK	SBBJ0010814	""RAMESH SIHMAR"," 01262-258564""	01262-245729		",,,,,,
"HARYANA	SIRSA	MANDI DABWALI	""MANDI DABWALI","  DISTT. SIRSA.-125104""	MANDI DABWALI	SBBJ0010021	""S N SOLANKI"," 01668-222252""	01668=222841		",,,,,,,
"HARYANA	SIRSA	SIRSA	""OPP. MALAGAR PETROL PUMP", Begun Road, SIRSA (HARYANA)," PIN 125055""	SIRSA	SBBJ0011283	1666225963			125003002",,,,,,
"HARYANA	SONIPAT	SONEPAT	""RAILWAY ROAD"," SONEPAT -131001""	SONIPAT	SBBJ0010593	""VIJAY GANDHI"," 01264-2241174""			",,,,,,,
"HARYANA	YAMUNANAGAR	YAMUNA NAGAR	""E-20", INDUSTRIAL AREA, NEAR BUS STAND," YAMUNA NAGAR-135001 HARYANA""	YAMUNANAGAR	SBBJ0011174	""01732-290002"," 290003""			135003002",,,,,
"JHARKHAND	BOKARO	CHAS	""DHARAMSHALA MORE", OPPOSITE MARWARI PANCHAYAT,CHAS,DISTRICT -BOKARO,"JHARKHAND-827013""	CHAS	SBBJ0011123	6542235610			827003002",,,,,
"JHARKHAND	BOKARO	""DHANBAD"," KATRASGARH""	DISTT.   DHANBAD - 828113	KATRASGARH	SBBJ0010752	0326-2272303			",,,,,,,,
"JHARKHAND	BOKARO	TUNDOO	DISTT.  DHANBAD - 828128	TUNDOO	SBBJ0010475	0326-2722235			",,,,,,,,,
"JHARKHAND	DHANBAD	DHANBAD	""C/O HOTEL VIP(P) LTD. BANK MORE"," DHANBAD""	DHANBAD	SBBJ0010901	2373303			",,,,,,,,
"JHARKHAND	PASCHIMI SINGHBHUM	JAMSEDPUR	""BLOCK  NO. 1",  SHASHTRI  NAGAR,"  JAMSEDPUR - 831005""	JAMSHEDPUR	SBBJ0010732	0657-2429538			",,,,,,,
"JHARKHAND	PURBI SINGHBHUM	""Sakchi"," JAMSHEDPUR""	""Plot No- 480", Adarsh Abdul Rahim Complex, First Floor,  Line No - 22, Kasidih, Sakchi, Jamshedpur, Jharkhand," Pin- 831001""	JAMSHEDPUR	SBBJ0011213	-9934201013			"
"JHARKHAND	RANCHI	""Kantatoli"," RANCHI""	""Plot No - 280"," """"NILE"""" Old Hazari Bagh Road", Kantatoli, Ranchi, Jharkhand," Pin -834001""	RANCHI	SBBJ0011178	-9934201013			",,,
"JHARKHAND	RANCHI	RANCHI	""P.P.  COMPOUND",  GURDAYAL  SINGH  SALUJA  HOUSE,"  RANCHI - 834001""	RANCHI	SBBJ0010675	""0651-2210813"," 2331726""			",,,,,,
"KARNATAKA	BANGALORE URBAN	Banaswadi	""No 409",4th cross,,,,,,,,
O.M.B.R. Layout,,,,,,,,,
Banaswadi,"Banglore 560 043""	BANGALORE	SBBJ0011294	9449873680/9978719787			560003008",,,,,,,,
"KARNATAKA	BANGALORE URBAN	BANGALORE  BHARTI NAGAR	""BHARTI  NAGAR","  BANGALORE - 560042""	BANGALORE	SBBJ0010616	""V SRINIVASAN","  080-25364705""			",,,,,,,
"KARNATAKA	BANGALORE URBAN	BANGALORE  GANDHI NAGAR	""122",  VI  CROSS,  GANDHI  NAGAR,"  BANGALORE - 560009""	BANGALORE	SBBJ0010434	""A. SERENTHARAN"," 080-2265672""			",,,,,
"KARNATAKA	BANGALORE URBAN	BANGALORE  SIWANCHETY GARDEN	""SIWAN  CHETTY  GARDEN","  BANGALORE - 560042""	BANGALORE	SBBJ0010626	""ARUN S PATIL"," 080-25360290""			",,,,,,,
"KARNATAKA	BANGALORE URBAN	""BANGALURU","YELAHANKA""	""No. 38/1 & 38/2",4th Phase ,Main Road, Industrial Area,Yelahanka new town,Bengaluru,"560064""	YELAHANKA	SBBJ0011345	8147459894	sbbj11345@sbbj.co.in		560003009",,
"KARNATAKA	BANGALORE URBAN	Basaveshwar Nagar	""717", WOC, DR.Modi Hospital Road, WOC," Basaveshwar Nagar. Bangalore -560 086""	BANGALORE	SBBJ0011240	9480059232	sbbj11240@sbbj.co.in		560003006",,,,,
"KARNATAKA	BANGALORE URBAN	KORAMANGALA	""GROUND FLOOR",610, 80 FEET ROAD,6TH BLOCK, KORAMANGALA," BANGALORE""	BANGALORE	SBBJ0011179	8220622822			560003005",,,,
"KARNATAKA	BANGALORE URBAN	""SARJAPUR ROAD","BANGALORE""	""NO 23",KPTCL ROAD ,,,,,,,
OPP.  HNR Industrial Estate,,,,,,,,,
Kasavanahalli,Sarjapur road,"Banglore 560 035""	BANGALORE	SBBJ0011295	9632951122/9449873676			560003007",,,,,,,
"KERALA	ERNAKULAM	ERNAKULAM	""AWASTHI",  36/382(A),  CHITUR ROAD,  ERNAKULAM,"   DISTT.   COCHIN - 682011""	KOCHI	SBBJ0010449	""M S NAIR","  0484-2361031""			",,,,
"MADHYA PRADESH	BHOPAL	BHOPAL  KOLAR ROAD	""KOLAR ROAD", CT PLAZA 1ST FLOOR, CHUNA BHATI," BHOPAL""	BHOPAL	SBBJ0010850	""SRI RAM SHARMA","  0755-242811""			",,,,,
"MADHYA PRADESH	BHOPAL	BHOPAL  MAIN	""29  BHADWADA ROAD", NEW MARKET,   T.T. NAGAR," BHOPAL-462003""	BHOPAL	SBBJ0010454	""SUDHIR THAKORE","  0755-2550400""	0755-2556281		",,,,,
